Station|Max Load|Year|Month|Day|Hour|Min Load|Year|Month|Day|Hour|Average Load
COAST|18779.025510000003|2013|8|13|17|6602.113898999982|2013|2|3|4|10976.933460679751
EAST|2380.1654089999956|2013|8|5|17|771.3082989999987|2013|10|7|4|1408.4892354516817
FAR_WEST|2281.2722140000024|2013|6|26|17|1246.7924289999987|2013|4|1|4|1623.1142918414002
NORTH|1544.7707140000005|2013|8|7|17|530.1287989999997|2013|4|1|3|873.6226142283743
NORTH_C|24415.570226999993|2013|8|7|18|7193.495024000018|2013|4|1|4|12946.960796588259
SOUTHERN|5494.157645|2013|8|8|16|1667.7440149999995|2013|7|1|4|3209.307650013281
SOUTH_C|11433.30491600001|2013|8|8|18|3596.8772650000005|2013|4|14|5|6319.647200886382
WEST|1862.6137649999998|2013|8|7|17|645.6243419999993|2013|7|1|4|1070.3816499347495
