,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,EXITSn_hourly
72,A002,R051,02-00-01,05-26-11,00:00:00,REGULAR,3122019,665673,12.0
73,A002,R051,02-00-01,05-26-11,04:00:00,REGULAR,3122026,665674,1.0
74,A002,R051,02-00-01,05-26-11,08:00:00,REGULAR,3122068,665719,45.0
75,A002,R051,02-00-01,05-26-11,12:00:00,REGULAR,3122209,665876,157.0
76,A002,R051,02-00-01,05-26-11,16:00:00,REGULAR,3122448,665932,56.0
77,A002,R051,02-00-01,05-26-11,20:00:00,REGULAR,3123189,665981,49.0
78,A002,R051,02-00-01,05-27-11,00:00:00,REGULAR,3123373,665998,17.0
79,A002,R051,02-00-01,05-27-11,04:00:00,REGULAR,3123392,666002,4.0
80,A002,R051,02-00-01,05-27-11,08:00:00,REGULAR,3123426,666039,37.0
81,A002,R051,02-00-01,05-27-11,12:00:00,REGULAR,3123578,666183,144.0
82,A002,R051,02-00-01,05-27-11,16:00:00,REGULAR,3123947,666236,53.0
83,A002,R051,02-00-01,05-27-11,20:00:00,REGULAR,3124594,666289,53.0
84,A002,R051,02-03-00,05-21-11,00:00:00,REGULAR,1296821,4622013,3955724.0
85,A002,R051,02-03-00,05-21-11,04:00:00,REGULAR,1296833,4622040,27.0
86,A002,R051,02-03-00,05-21-11,08:00:00,REGULAR,1296837,4622101,61.0
87,A002,R051,02-03-00,05-21-11,12:00:00,REGULAR,1296863,4622406,305.0
88,A002,R051,02-03-00,05-21-11,16:00:00,REGULAR,1296926,4622746,340.0
89,A002,R051,02-03-00,05-21-11,20:00:00,REGULAR,1297041,4623145,399.0
90,A002,R051,02-03-00,05-22-11,00:00:00,REGULAR,1297127,4623299,154.0
91,A002,R051,02-03-00,05-22-11,04:00:00,REGULAR,1297142,4623329,30.0
92,A002,R051,02-03-00,05-22-11,08:00:00,REGULAR,1297145,4623370,41.0
93,A002,R051,02-03-00,05-22-11,12:00:00,REGULAR,1297173,4623572,202.0
94,A002,R051,02-03-00,05-22-11,16:00:00,REGULAR,1297245,4623834,262.0
95,A002,R051,02-03-00,05-22-11,20:00:00,REGULAR,1297324,4624131,297.0
96,A002,R051,02-03-00,05-23-11,00:00:00,REGULAR,1297364,4624238,107.0
97,A002,R051,02-03-00,05-23-11,04:00:00,REGULAR,1297371,4624242,4.0
98,A002,R051,02-03-00,05-23-11,08:00:00,REGULAR,1297387,4624466,224.0
99,A002,R051,02-03-00,05-23-11,12:00:00,REGULAR,1297447,4625278,812.0
100,A002,R051,02-03-00,05-23-11,16:00:00,REGULAR,1297560,4625627,349.0
101,A002,R051,02-03-00,05-23-11,20:00:00,REGULAR,1297813,4626186,559.0
102,A002,R051,02-03-00,05-24-11,00:00:00,REGULAR,1297887,4626327,141.0
103,A002,R051,02-03-00,05-24-11,04:00:00,REGULAR,1297891,4626333,6.0
104,A002,R051,02-03-00,05-24-11,08:00:00,REGULAR,1297908,4626605,272.0
105,A002,R051,02-03-00,05-24-11,12:00:00,REGULAR,1297969,4627418,813.0
106,A002,R051,02-03-00,05-24-11,16:00:00,REGULAR,1298080,4627823,405.0
107,A002,R051,02-03-00,05-24-11,20:00:00,REGULAR,1298370,4628336,513.0
108,A002,R051,02-03-00,05-25-11,00:00:00,REGULAR,1298448,4628482,146.0
109,A002,R051,02-03-00,05-25-11,04:00:00,REGULAR,1298453,4628493,11.0
110,A002,R051,02-03-00,05-25-11,08:00:00,REGULAR,1298464,4628753,260.0
111,A002,R051,02-03-00,05-25-11,12:00:00,REGULAR,1298516,4629543,790.0
112,A002,R051,02-03-00,05-25-11,16:00:00,REGULAR,1298627,4629936,393.0
113,A002,R051,02-03-00,05-25-11,20:00:00,REGULAR,1298879,4630553,617.0
114,A002,R051,02-03-00,05-26-11,00:00:00,REGULAR,1298974,4630717,164.0
115,A002,R051,02-03-00,05-26-11,04:00:00,REGULAR,1298980,4630724,7.0
116,A002,R051,02-03-00,05-26-11,08:00:00,REGULAR,1298997,4630986,262.0
117,A002,R051,02-03-00,05-26-11,12:00:00,REGULAR,1299049,4631815,829.0
118,A002,R051,02-03-00,05-26-11,16:00:00,REGULAR,1299169,4632234,419.0
119,A002,R051,02-03-00,05-26-11,20:00:00,REGULAR,1299449,4632821,587.0
120,A002,R051,02-03-00,05-27-11,00:00:00,REGULAR,1299549,4632979,158.0
121,A002,R051,02-03-00,05-27-11,04:00:00,REGULAR,1299561,4632996,17.0
122,A002,R051,02-03-00,05-27-11,08:00:00,REGULAR,1299575,4633228,232.0
123,A002,R051,02-03-00,05-27-11,12:00:00,REGULAR,1299624,4633955,727.0
124,A002,R051,02-03-00,05-27-11,16:00:00,REGULAR,1299786,4634423,468.0
125,A002,R051,02-03-00,05-27-11,20:00:00,REGULAR,1300006,4634898,475.0
126,A002,R051,02-03-01,05-21-11,00:00:00,REGULAR,2870403,4424936,-209962.0
127,A002,R051,02-03-01,05-21-11,04:00:00,REGULAR,2870438,4424975,39.0
128,A002,R051,02-03-01,05-21-11,08:00:00,REGULAR,2870465,4425062,87.0
129,A002,R051,02-03-01,05-21-11,12:00:00,REGULAR,2870582,4425359,297.0
130,A002,R051,02-03-01,05-21-11,16:00:00,REGULAR,2870827,4425762,403.0
131,A002,R051,02-03-01,05-21-11,20:00:00,REGULAR,2871088,4426224,462.0
132,A002,R051,02-03-01,05-22-11,00:00:00,REGULAR,2871314,4426453,229.0
133,A002,R051,02-03-01,05-22-11,04:00:00,REGULAR,2871384,4426499,46.0
134,A002,R051,02-03-01,05-22-11,08:00:00,REGULAR,2871407,4426542,43.0
135,A002,R051,02-03-01,05-22-11,12:00:00,REGULAR,2871498,4426772,230.0
136,A002,R051,02-03-01,05-22-11,16:00:00,REGULAR,2871715,4427105,333.0
137,A002,R051,02-03-01,05-22-11,20:00:00,REGULAR,2871934,4427458,353.0
138,A002,R051,02-03-01,05-23-11,00:00:00,REGULAR,2872105,4427593,135.0
139,A002,R051,02-03-01,05-23-11,04:00:00,REGULAR,2872114,4427610,17.0
140,A002,R051,02-03-01,05-23-11,08:00:00,REGULAR,2872165,4427849,239.0
141,A002,R051,02-03-01,05-23-11,12:00:00,REGULAR,2872345,4428625,776.0
142,A002,R051,02-03-01,05-23-11,16:00:00,REGULAR,2872616,4429017,392.0
143,A002,R051,02-03-01,05-23-11,20:00:00,REGULAR,2873168,4429544,527.0
144,A002,R051,02-03-01,05-24-11,00:00:00,REGULAR,2873392,4429722,178.0
145,A002,R051,02-03-01,05-24-11,04:00:00,REGULAR,2873400,4429735,13.0
146,A002,R051,02-03-01,05-24-11,08:00:00,REGULAR,2873457,4430004,269.0
147,A002,R051,02-03-01,05-24-11,12:00:00,REGULAR,2873615,4430774,770.0
148,A002,R051,02-03-01,05-24-11,16:00:00,REGULAR,2873907,4431196,422.0
149,A002,R051,02-03-01,05-24-11,20:00:00,REGULAR,2874537,4431698,502.0
150,A002,R051,02-03-01,05-25-11,00:00:00,REGULAR,2874768,4431889,191.0
151,A002,R051,02-03-01,05-25-11,04:00:00,REGULAR,2874791,4431905,16.0
152,A002,R051,02-03-01,05-25-11,08:00:00,REGULAR,2874842,4432161,256.0
153,A002,R051,02-03-01,05-25-11,12:00:00,REGULAR,2874985,4432931,770.0
154,A002,R051,02-03-01,05-25-11,16:00:00,REGULAR,2875284,4433326,395.0
155,A002,R051,02-03-01,05-25-11,20:00:00,REGULAR,2875895,4433894,568.0
156,A002,R051,02-03-01,05-26-11,00:00:00,REGULAR,2876150,4434094,200.0
157,A002,R051,02-03-01,05-26-11,04:00:00,REGULAR,2876182,4434115,21.0
158,A002,R051,02-03-01,05-26-11,08:00:00,REGULAR,2876234,4434401,286.0
159,A002,R051,02-03-01,05-26-11,12:00:00,REGULAR,2876386,4435208,807.0
160,A002,R051,02-03-01,05-26-11,16:00:00,REGULAR,2876699,4435637,429.0
161,A002,R051,02-03-01,05-26-11,20:00:00,REGULAR,2877308,4436213,576.0
162,A002,R051,02-03-01,05-27-11,00:00:00,REGULAR,2877590,4436395,182.0
163,A002,R051,02-03-01,05-27-11,04:00:00,REGULAR,2877616,4436416,21.0
164,A002,R051,02-03-01,05-27-11,08:00:00,REGULAR,2877655,4436690,274.0
165,A002,R051,02-03-01,05-27-11,12:00:00,REGULAR,2877818,4437366,676.0
166,A002,R051,02-03-01,05-27-11,16:00:00,REGULAR,2878155,4437897,531.0
167,A002,R051,02-03-01,05-27-11,20:00:00,REGULAR,2878647,4438371,474.0
168,A002,R051,02-03-02,05-21-11,00:00:00,REGULAR,2641127,3618273,-820098.0
169,A002,R051,02-03-02,05-21-11,04:00:00,REGULAR,2641181,3618312,39.0
170,A002,R051,02-03-02,05-21-11,08:00:00,REGULAR,2641196,3618394,82.0
171,A002,R051,02-03-02,05-21-11,12:00:00,REGULAR,2641307,3618665,271.0
172,A002,R051,02-03-02,05-21-11,16:00:00,REGULAR,2641546,3618964,299.0
173,A002,R051,02-03-02,05-21-11,20:00:00,REGULAR,2641857,3619319,355.0
174,A002,R051,02-03-02,05-22-11,00:00:00,REGULAR,2642038,3619500,181.0
175,A002,R051,02-03-02,05-22-11,04:00:00,REGULAR,2642078,3619549,49.0
176,A002,R051,02-03-02,05-22-11,08:00:00,REGULAR,2642088,3619611,62.0
177,A002,R051,02-03-02,05-22-11,12:00:00,REGULAR,2642166,3619803,192.0
178,A002,R051,02-03-02,05-22-11,16:00:00,REGULAR,2642361,3620061,258.0
179,A002,R051,02-03-02,05-22-11,20:00:00,REGULAR,2642600,3620326,265.0
180,A002,R051,02-03-02,05-23-11,00:00:00,REGULAR,2642781,3620439,113.0
181,A002,R051,02-03-02,05-23-11,04:00:00,REGULAR,2642796,3620463,24.0
182,A002,R051,02-03-02,05-23-11,08:00:00,REGULAR,2642830,3620715,252.0
183,A002,R051,02-03-02,05-23-11,12:00:00,REGULAR,2643019,3621392,677.0
184,A002,R051,02-03-02,05-23-11,16:00:00,REGULAR,2643291,3621687,295.0
185,A002,R051,02-03-02,05-23-11,20:00:00,REGULAR,2643834,3622146,459.0
186,A002,R051,02-03-02,05-24-11,00:00:00,REGULAR,2644057,3622290,144.0
187,A002,R051,02-03-02,05-24-11,04:00:00,REGULAR,2644067,3622309,19.0
188,A002,R051,02-03-02,05-24-11,08:00:00,REGULAR,2644111,3622603,294.0
189,A002,R051,02-03-02,05-24-11,12:00:00,REGULAR,2644297,3623289,686.0
190,A002,R051,02-03-02,05-24-11,16:00:00,REGULAR,2644586,3623606,317.0
191,A002,R051,02-03-02,05-24-11,20:00:00,REGULAR,2645197,3624023,417.0
192,A002,R051,02-03-02,05-25-11,00:00:00,REGULAR,2645459,3624191,168.0
193,A002,R051,02-03-02,05-25-11,04:00:00,REGULAR,2645483,3624203,12.0
194,A002,R051,02-03-02,05-25-11,08:00:00,REGULAR,2645530,3624484,281.0
195,A002,R051,02-03-02,05-25-11,12:00:00,REGULAR,2645706,3625203,719.0
196,A002,R051,02-03-02,05-25-11,16:00:00,REGULAR,2646000,3625464,261.0
197,A002,R051,02-03-02,05-25-11,20:00:00,REGULAR,2646596,3625880,416.0
198,A002,R051,02-03-02,05-26-11,00:00:00,REGULAR,2646852,3626031,151.0
199,A002,R051,02-03-02,05-26-11,04:00:00,REGULAR,2646875,3626041,10.0
200,A002,R051,02-03-02,05-26-11,08:00:00,REGULAR,2646913,3626312,271.0
201,A002,R051,02-03-02,05-26-11,12:00:00,REGULAR,2647112,3627011,699.0
202,A002,R051,02-03-02,05-26-11,16:00:00,REGULAR,2647414,3627307,296.0
203,A002,R051,02-03-02,05-26-11,20:00:00,REGULAR,2648038,3627685,378.0
204,A002,R051,02-03-02,05-27-11,00:00:00,REGULAR,2648300,3627847,162.0
205,A002,R051,02-03-02,05-27-11,04:00:00,REGULAR,2648332,3627867,20.0
206,A002,R051,02-03-02,05-27-11,08:00:00,REGULAR,2648371,3628116,249.0
207,A002,R051,02-03-02,05-27-11,12:00:00,REGULAR,2648545,3628764,648.0
208,A002,R051,02-03-02,05-27-11,16:00:00,REGULAR,2648930,3629106,342.0
209,A002,R051,02-03-02,05-27-11,20:00:00,REGULAR,2649440,3629451,345.0
210,A002,R051,02-03-03,05-21-11,00:00:00,REGULAR,2343637,3067395,-562056.0
211,A002,R051,02-03-03,05-21-11,04:00:00,REGULAR,2343662,3067410,15.0
212,A002,R051,02-03-03,05-21-11,08:00:00,REGULAR,2343673,3067488,78.0
213,A002,R051,02-03-03,05-21-11,12:00:00,REGULAR,2343741,3067726,238.0
214,A002,R051,02-03-03,05-21-11,16:00:00,REGULAR,2343890,3067931,205.0
215,A002,R051,02-03-03,05-21-11,20:00:00,REGULAR,2344127,3068119,188.0
216,A002,R051,02-03-03,05-22-11,00:00:00,REGULAR,2344258,3068213,94.0
217,A002,R051,02-03-03,05-22-11,04:00:00,REGULAR,2344297,3068234,21.0
218,A002,R051,02-03-03,05-22-11,08:00:00,REGULAR,2344313,3068297,63.0
219,A002,R051,02-03-03,05-22-11,12:00:00,REGULAR,2344355,3068474,177.0
220,A002,R051,02-03-03,05-22-11,16:00:00,REGULAR,2344466,3068645,171.0
221,A002,R051,02-03-03,05-22-11,20:00:00,REGULAR,2344637,3068807,162.0
222,A002,R051,02-03-03,05-23-11,00:00:00,REGULAR,2344732,3068879,72.0
223,A002,R051,02-03-03,05-23-11,04:00:00,REGULAR,2344740,3068887,8.0
224,A002,R051,02-03-03,05-23-11,08:00:00,REGULAR,2344778,3069188,301.0
225,A002,R051,02-03-03,05-23-11,12:00:00,REGULAR,2344938,3069812,624.0
226,A002,R051,02-03-03,05-23-11,16:00:00,REGULAR,2345151,3070016,204.0
227,A002,R051,02-03-03,05-23-11,20:00:00,REGULAR,2345698,3070356,340.0
228,A002,R051,02-03-03,05-24-11,00:00:00,REGULAR,2345858,3070442,86.0
229,A002,R051,02-03-03,05-24-11,04:00:00,REGULAR,2345865,3070452,10.0
230,A002,R051,02-03-03,05-24-11,08:00:00,REGULAR,2345890,3070804,352.0
231,A002,R051,02-03-03,05-24-11,12:00:00,REGULAR,2346071,3071394,590.0
232,A002,R051,02-03-03,05-24-11,16:00:00,REGULAR,2346274,3071599,205.0
233,A002,R051,02-03-03,05-24-11,20:00:00,REGULAR,2346843,3071907,308.0
234,A002,R051,02-03-03,05-25-11,00:00:00,REGULAR,2346994,3072053,146.0
235,A002,R051,02-03-03,05-25-11,04:00:00,REGULAR,2347005,3072063,10.0
236,A002,R051,02-03-03,05-25-11,08:00:00,REGULAR,2347039,3072351,288.0
237,A002,R051,02-03-03,05-25-11,12:00:00,REGULAR,2347213,3072979,628.0
238,A002,R051,02-03-03,05-25-11,16:00:00,REGULAR,2347435,3073167,188.0
239,A002,R051,02-03-03,05-25-11,20:00:00,REGULAR,2347999,3073420,253.0
240,A002,R051,02-03-03,05-26-11,00:00:00,REGULAR,2348170,3073532,112.0
241,A002,R051,02-03-03,05-26-11,04:00:00,REGULAR,2348180,3073538,6.0
242,A002,R051,02-03-03,05-26-11,08:00:00,REGULAR,2348217,3073874,336.0
243,A002,R051,02-03-03,05-26-11,12:00:00,REGULAR,2348395,3074503,629.0
244,A002,R051,02-03-03,05-26-11,16:00:00,REGULAR,2348572,3074743,240.0
245,A002,R051,02-03-03,05-26-11,20:00:00,REGULAR,2349119,3074991,248.0
246,A002,R051,02-03-03,05-27-11,00:00:00,REGULAR,2349282,3075108,117.0
247,A002,R051,02-03-03,05-27-11,04:00:00,REGULAR,2349298,3075121,13.0
