County,State,Perc_Female,Perc_Black,Perc_Asian,Perc_Hispanic,Perc_White,Median_Age
Deer Lodge County Montana,Montana,47.1,0.4,0.3,2.9,93.1,48.4
Defiance County Ohio,Ohio,50.8,1.9,0.3,8.7,92.8,40.4
DeKalb County Georgia,Georgia,52.1,54.3,5.1,9.8,33.3,35.6
DeKalb County Alabama,Alabama,50.6,1.5,0.3,13.6,84.5,38.6
DeKalb County Tennessee,Tennessee,50.5,1.3,0.3,6.6,92.7,42.8
DeKalb County Indiana,Indiana,50.4,0.4,0.5,2.4,96.9,38.9
DeKalb County Illinois,Illinois,50,6.4,2.3,10.1,85.1,30.3
DeKalb County Missouri,Missouri,37.3,11.3,0.2,1.7,86.9,43.2
Del Norte County California,California,44.4,3.5,3.4,17.8,73.7,42.2
Delaware County Pennsylvania,Pennsylvania,52.1,19.7,4.7,3,72.5,40.4
Delaware County Indiana,Indiana,51.9,6.9,1,1.8,89.1,36
Delaware County Ohio,Ohio,50.7,3.4,4.3,2.1,89.7,37.9
Delaware County Oklahoma,Oklahoma,50.7,0.2,1.3,3,67,45.9
Delaware County Iowa,Iowa,50,0.3,0.3,0.8,98.6,43
Delaware County New York,New York,49.8,1.6,0.8,3.3,95.2,46.3
Delta County Texas,Texas,51,7.3,0.6,5.5,85.3,44.8
Delta County Michigan,Michigan,50.5,0.2,0.4,0.9,94.7,46.6
Delta County Colorado,Colorado,49.6,0.5,0.5,14,89.7,47.1
Denali Borough Alaska,Alaska,45.1,0.5,1,2.3,89.6,39.1
Dent County Missouri,Missouri,50.4,0.4,0.3,0.9,96.6,44.1
Denton County Texas,Texas,50.8,8.4,6.6,18.2,75,33.5
Denver County Colorado,Colorado,50,10.2,3.4,31.8,68.9,33.9
Des Moines County Iowa,Iowa,51.4,5.1,0.7,2.6,91,43
Deschutes County Oregon,Oregon,50.6,0.4,0.9,7.4,92.2,41.2
Desha County Arkansas,Arkansas,53.1,47.8,0.3,4.4,47.9,39.8
DeSoto County Mississippi,Mississippi,51.3,21.9,1.3,5,72.2,36
DeSoto County Florida,Florida,43.4,12.7,0.5,29.9,66.2,41.1
Deuel County Nebraska,Nebraska,50.9,0.1,0.3,3.9,97,48.6
Deuel County South Dakota,South Dakota,48.4,0.3,0.1,2,97.5,44.6
Dewey County South Dakota,South Dakota,50.9,0.1,0.2,1.8,21,30.9
Dewey County Oklahoma,Oklahoma,50.1,0.3,0.7,4.8,89.1,44.4
DeWitt County Texas,Texas,48,9.3,0.2,32.4,75.7,44.6
Dickens County Texas,Texas,43.4,4.1,0.9,29,84,49.1
Dickenson County Virginia,Virginia,50,0.3,0.1,0.5,98.8,44.1
Dickey County North Dakota,North Dakota,50.3,0.7,0.4,1.9,96.5,45.5
Dickinson County Michigan,Michigan,50.8,0.3,0.5,1,97.2,46.2
Dickinson County Kansas,Kansas,50.7,0.8,0.3,3.9,95.1,42.7
Dickinson County Iowa,Iowa,50.4,0.2,0.4,1.1,98.3,49.5
Dickson County Tennessee,Tennessee,50.9,4.1,0.5,3.2,91.8,39.9
Dillingham Census Area Alaska,Alaska,47.6,0.2,0.7,2.1,18.1,28.6
Dillon County South Carolina,South Carolina,53,46.1,0.2,2.6,48,38.4
Dimmit County Texas,Texas,51.6,1,0.6,86.2,88.6,36.7
Dinwiddie County Virginia,Virginia,50.9,32.9,0.4,2.4,63.9,41.6
District of Columbia District of Columbia,District of Columbia,52.8,50.7,3.5,9.1,38.5,34
Divide County North Dakota,North Dakota,48.8,0.2,0.3,1.4,98,52.9
Dixie County Florida,Florida,46.2,8.4,0.3,3.1,88.8,46.8
Dixon County Nebraska,Nebraska,50.6,0.3,0.2,10.4,92.5,43.1
Doddridge County West Virginia,West Virginia,46.5,1.4,0.2,0.5,97,44.6
Dodge County Nebraska,Nebraska,51,0.6,0.5,10.1,90.9,41.7
Dodge County Minnesota,Minnesota,50,0.3,0.4,4.6,96.1,37.1
Dodge County Georgia,Georgia,47.5,29.8,0.5,3.4,66.8,40.2
Dodge County Wisconsin,Wisconsin,47.4,2.7,0.5,4,93.8,42.4
Doձa Ana Count New Mexico,New Mexico,51,1.7,1.1,65.7,74.1,33.9
Dolores County Colorado,Colorado,48.5,0.2,0.1,4,93,44.5
Doniphan County Kansas,Kansas,49.6,3.1,0.2,2.1,93.1,41.4
Donley County Texas,Texas,50.4,4.5,0.2,8.4,89.9,44.6
Dooly County Georgia,Georgia,46,49.9,0.6,5.8,45.6,41.2
Door County Wisconsin,Wisconsin,50.8,0.5,0.4,2.4,96.6,50.4
Dorado Municipio Puerto Rico,Puerto Rico,52,15.7,0.2,98,69.5,37.2
Dorchester County Maryland,Maryland,52.3,27.7,0.9,3.5,67.6,44.4
Dorchester County South Carolina,South Carolina,51.4,25.8,1.5,4.4,67.8,36.6
Dougherty County Georgia,Georgia,53.5,67.1,0.8,2.2,29.6,35
Douglas County Georgia,Georgia,51.8,39.5,1.4,8.4,52.5,36
Douglas County Nebraska,Nebraska,50.8,11.6,2.7,11.2,76.4,34.4
Douglas County Illinois,Illinois,50.7,0.3,0.4,6.1,95.7,40.2
Douglas County Oregon,Oregon,50.6,0.3,1,4.7,92.4,47.1
Douglas County Missouri,Missouri,50.6,0.2,0.2,0.8,97.1,45.6
Douglas County Colorado,Colorado,50.5,1.2,3.8,7.5,90.2,37
Douglas County Nevada,Nevada,50,0.4,1.5,10.9,89.6,47.9
Douglas County Wisconsin,Wisconsin,50,1.1,0.9,1.1,93.2,40.6
Douglas County Washington,Washington,50,0.3,0.7,28.7,79.6,37.7
Douglas County Kansas,Kansas,49.9,3.9,3.7,5.1,84.5,29.2
Douglas County Minnesota,Minnesota,49.9,0.4,0.5,0.9,97.7,44.9
Douglas County South Dakota,South Dakota,49.9,0.4,0.1,0.8,96.6,49.2
Drew County Arkansas,Arkansas,51.5,27.8,0.5,2.5,68.8,38.5
Dubois County Indiana,Indiana,50.8,0.3,0.5,6,95.1,41
Dubuque County Iowa,Iowa,50.7,2.7,0.9,1.9,94.1,40.1
Duchesne County Utah,Utah,49.2,0.2,0.3,6,89.2,29.5
Dukes County Massachusetts,Massachusetts,50.5,3.1,0.8,2.3,87.6,46.5
Dundy County Nebraska,Nebraska,49.9,0.3,0.1,5.8,95.3,48.9
Dunklin County Missouri,Missouri,52,9.7,0.3,5.4,85.1,40.8
Dunn County Wisconsin,Wisconsin,49.5,0.5,2.6,1.4,94.7,34.5
Dunn County North Dakota,North Dakota,47.3,0.2,0.3,1.1,84.9,46.1
DuPage County Illinois,Illinois,51,4.6,10.1,13.3,77.9,39.5
Duplin County North Carolina,North Carolina,50.8,25.3,0.3,20.6,57.2,39.5
Durham County North Carolina,North Carolina,52.3,38,4.6,13.5,46.4,34.2
Dutchess County New York,New York,50.2,9.9,3.5,10.5,80.1,41.2
Duval County Florida,Florida,51.5,29.5,4.2,7.6,60.9,37.2
Duval County Texas,Texas,48.4,0.9,0.2,88.5,87,38.4
Dyer County Tennessee,Tennessee,51.8,14.3,0.5,2.6,82,40.3
Eagle County Colorado,Colorado,46.7,0.7,1,30.1,83.2,34.1
Early County Georgia,Georgia,52.8,49.6,0.3,1.6,48.4,40.9
East Baton Rouge Parish Louisiana,Louisiana,52,45.3,2.8,3.7,48.8,34.3
East Carroll Parish Louisiana,Louisiana,46.5,69,0.6,1.6,28.9,36.6
East Feliciana Parish Louisiana,Louisiana,46.2,44.9,0.3,1,53.2,42.5
Eastland County Texas,Texas,51.2,1.8,0.3,14.4,89.9,44.5
Eaton County Michigan,Michigan,51.2,6.3,1.7,4.7,87.8,41.5
Eau Claire County Wisconsin,Wisconsin,51,0.9,3.3,1.8,93.1,34.5
Echols County Georgia,Georgia,49.4,4.2,0.3,29.3,74.9,32.2
Ector County Texas,Texas,50.6,4.5,0.8,52.7,76.3,32.4
Eddy County North Dakota,North Dakota,51.1,0.2,0.3,2.2,95.2,50.9
Eddy County New Mexico,New Mexico,50.1,1.4,0.7,44.1,77.4,38.5
Edgar County Illinois,Illinois,51.5,0.3,0.2,1,98.3,45
Edgecombe County North Carolina,North Carolina,53.6,57.4,0.2,3.7,38.8,41.2
Edgefield County South Carolina,South Carolina,46,37.2,0.4,5.2,58.6,42.5
Edmonson County Kentucky,Kentucky,50.1,1.4,0.2,0.8,96.9,42.2
Edmunds County South Dakota,South Dakota,49.2,0.1,0.1,1.4,97.8,46.2
Edwards County Illinois,Illinois,50.6,0.4,0.3,0.9,98,44.3
Edwards County Kansas,Kansas,50.2,0.7,0.4,17.6,90.8,44.9
Edwards County Texas,Texas,49,0.5,0.3,51.3,86.9,47.3
Effingham County Illinois,Illinois,50.3,0.2,0.4,1.7,97.6,41.3
Effingham County Georgia,Georgia,50.2,13.5,0.8,2.9,82.6,35.9
El Dorado County California,California,50,0.8,3.5,12.1,86.6,44.5
El Paso County Texas,Texas,51.6,3.1,1,82.2,82.1,33.2
El Paso County Colorado,Colorado,50.2,6.2,2.7,15.1,79.8,35.7
Elbert County Georgia,Georgia,52.1,29.5,0.6,4.8,65.9,42.3
Elbert County Colorado,Colorado,50,0.7,0.7,5.3,94.7,43.7
Elk County Kansas,Kansas,50.5,0,0.4,2.7,95.1,50.1
Elk County Pennsylvania,Pennsylvania,50.3,0.3,0.3,0.6,98.5,45.9
Elkhart County Indiana,Indiana,50.7,5.7,1,14.1,82.9,36
Elko County Nevada,Nevada,48.1,0.8,0.9,22.9,79.4,33.4
Elliott County Kentucky,Kentucky,44,3.4,0.1,0.8,95.6,42.6
Ellis County Oklahoma,Oklahoma,51.2,0.3,0.2,6,94.4,44.1
Ellis County Texas,Texas,50.6,9,0.6,23.5,78.6,35.9
Ellis County Kansas,Kansas,50.3,0.9,1.4,4.6,93.8,33.8
Ellsworth County Kansas,Kansas,43.8,4.6,0.4,5,92.2,48.4
Elmore County Alabama,Alabama,51.2,20,0.7,2.7,76.2,38.6
Elmore County Idaho,Idaho,48.3,2.7,2.8,15.2,82.2,31.3
Emanuel County Georgia,Georgia,51.2,33.5,0.7,4.1,61.6,38.6
Emery County Utah,Utah,49.1,0.2,0.3,6,93.9,33.5
Emmet County Michigan,Michigan,50.7,0.5,0.5,1.3,92.9,44.5
Emmet County Iowa,Iowa,50.1,0.6,0.4,7.4,93.1,43.3
Emmons County North Dakota,North Dakota,48.7,0.1,0.2,1,98.5,51.4
Emporia city Virginia,Virginia,53.9,62.5,0.7,4.4,32.7,40.6
Erath County Texas,Texas,50.9,1.2,0.7,19.2,85.6,31.7
Erie County New York,New York,51.8,13.5,2.6,4.5,80,42.1
Erie County Ohio,Ohio,51,8.6,0.6,3.4,87,44.3
Erie County Pennsylvania,Pennsylvania,50.8,7.2,1.1,3.4,88.2,39.9
Escambia County Florida,Florida,50.6,22.9,2.7,4.7,68.9,39.5
Escambia County Alabama,Alabama,48.4,31.9,0.2,1.9,62.1,40.4
Esmeralda County Nevada,Nevada,44.6,0,0.4,15.3,84.4,53.3
Essex County Virginia,Virginia,52.7,38.1,0.8,3.1,57.1,43.4
Essex County New Jersey,New Jersey,52,40.9,4.6,20.3,42.6,37.9
Essex County Massachusetts,Massachusetts,52,3.8,3.1,16.5,81.9,41.8
Essex County Vermont,Vermont,49.4,0.3,0.3,0.9,97.3,47
Essex County New York,New York,48.2,2.7,0.7,2.5,94.2,46.4
Estill County Kentucky,Kentucky,50.7,0.2,0.1,0.7,98.5,42.6
Etowah County Alabama,Alabama,51.5,15.1,0.6,3.3,80.3,41.7
Eureka County Nevada,Nevada,47.3,0.1,0.9,12,89.3,39.9
Evangeline Parish Louisiana,Louisiana,49.6,28.3,0.3,2.3,69,37.7
Evans County Georgia,Georgia,51,29.1,0.7,13.1,58.8,37.6
Fairbanks North Star Borough Alaska,Alaska,47.2,4.5,2.7,5.8,77,31.7
Fairfax city Virginia,Virginia,50.7,4.7,15.2,15.8,69.6,40.7
Fairfax County Virginia,Virginia,50.6,9.2,17.5,15.6,62.7,38.3
Fairfield County South Carolina,South Carolina,52.1,59.1,0.2,1.6,38.6,43.2
Fairfield County Connecticut,Connecticut,51.4,10.8,4.6,16.9,74.8,40.8
Fairfield County Ohio,Ohio,50.4,6,1.1,1.7,90.2,39.3
Fajardo Municipio Puerto Rico,Puerto Rico,52.9,18.6,0.3,98.2,64.8,38.9
Fall River County South Dakota,South Dakota,49.2,0.7,0.4,2.2,88.6,50.9
Fallon County Montana,Montana,49.3,0.1,0.6,1.2,97.4,44.8
Falls Church city Virginia,Virginia,51,4.3,9.4,9,79.9,40.3
Falls County Texas,Texas,52.5,25.3,0.3,20.8,60.6,40.7
Fannin County Georgia,Georgia,51.2,0.4,0.3,1.8,97.1,49.2
Fannin County Texas,Texas,47,6.8,0.4,9.5,86,42.9
Faribault County Minnesota,Minnesota,50.3,0.3,0.3,5.6,96.5,47.5
Faulk County South Dakota,South Dakota,50.5,0.1,0.1,0.8,98.9,47.4
Faulkner County Arkansas,Arkansas,50.9,10.2,1.1,3.9,84.3,32.3
Fauquier County Virginia,Virginia,50.7,8.2,1.3,6.4,85.3,41.9
Fayette County Georgia,Georgia,51.7,20.1,3.9,6.3,71.1,43.3
Fayette County Indiana,Indiana,51,1.3,0.3,0.9,96.9,42.1
Fayette County Pennsylvania,Pennsylvania,50.9,4.6,0.3,0.8,93.3,45.2
Fayette County Kentucky,Kentucky,50.8,14.5,3.2,6.9,75.7,34.8
Fayette County Ohio,Ohio,50.8,2,0.5,1.8,94.6,40.5
Fayette County Texas,Texas,50.8,6.6,0.3,18.7,83.5,47.3
Fayette County Alabama,Alabama,50.7,11.4,0.2,1.2,86.5,44.4
Fayette County Tennessee,Tennessee,50.4,28.1,0.5,2.2,69.2,43
Fayette County Iowa,Iowa,50,0.9,0.5,1.8,97,45
Fayette County West Virginia,West Virginia,49.9,4.6,0.2,0.9,93.5,44.9
Fayette County Illinois,Illinois,47.4,4.4,0.2,1.4,93.7,41.7
Fentress County Tennessee,Tennessee,50.7,0.2,0.2,1.1,98.1,43.4
Fergus County Montana,Montana,49.8,0.2,0.2,1.5,96.6,48.6
Ferry County Washington,Washington,48.3,0.3,0.7,3.4,76.3,48.1
Fillmore County Nebraska,Nebraska,50.9,0.6,0.2,3,96.8,47.5
Fillmore County Minnesota,Minnesota,50.3,0.2,0.3,1,98.2,44.3
Finney County Kansas,Kansas,49.8,2.3,3.4,46.7,77,30.6
Fisher County Texas,Texas,50.7,3.4,0.2,25.1,86.7,46.8
Flagler County Florida,Florida,51.9,11.4,2.1,8.6,82.3,48.6
Flathead County Montana,Montana,50.2,0.2,0.6,2.3,95.5,42
Fleming County Kentucky,Kentucky,50.9,1.3,0.2,1,97,40.9
Florence County South Carolina,South Carolina,53,41.3,1.2,2.2,54.9,38.8
Florence County Wisconsin,Wisconsin,48.9,0.2,0.3,0.8,97.4,49.1
Florida Municipio Puerto Rico,Puerto Rico,52,4.6,0.1,99.6,90.4,36.2
Floyd County Georgia,Georgia,51.6,14.2,1.3,9.3,76.9,38.8
Floyd County Indiana,Indiana,51.5,5.2,0.9,2.6,90.4,40.1
Floyd County Kentucky,Kentucky,51.1,0.7,0.2,0.6,98.2,41.2
Floyd County Iowa,Iowa,51,1.2,1.3,2,95.8,44.6
Floyd County Texas,Texas,50.7,3.6,0.2,52.9,76.3,39.4
Floyd County Virginia,Virginia,49.8,1.8,0.2,2.7,95.9,44.8
Fluvanna County Virginia,Virginia,54.1,15.3,0.6,3,80.7,41.2
Foard County Texas,Texas,52.3,4,0.4,14,90.6,47.1
Fond du Lac County Wisconsin,Wisconsin,50.9,1.3,1.1,4.3,94.1,41.5
Ford County Illinois,Illinois,51.3,0.6,0.3,2.1,97.1,44.5
Ford County Kansas,Kansas,48.4,2.1,1.4,51.2,75.3,31.5
Forest County Wisconsin,Wisconsin,49.2,0.8,0.1,1.5,82.7,44.8
Forest County Pennsylvania,Pennsylvania,33.1,18,0.2,5.4,76.9,52.1
Forrest County Mississippi,Mississippi,52.2,36.1,0.7,3.5,59.7,32.2
Forsyth County North Carolina,North Carolina,52.5,26,1.9,11.9,62.3,38.5
Forsyth County Georgia,Georgia,50.3,2.6,6.2,9.4,85.4,37.3
Fort Bend County Texas,Texas,50.9,21.5,17,23.7,50.6,35.8
Foster County North Dakota,North Dakota,49.9,0.1,0.1,0.9,98.4,47.7
Fountain County Indiana,Indiana,50.5,0.2,0.2,2.2,97.5,43.1
Franklin city Virginia,Virginia,55.5,56.9,0.7,1.6,39.4,43.2
Franklin County Kentucky,Kentucky,51.6,10.4,1.4,2.8,84.4,41
Franklin County Mississippi,Mississippi,51.4,34.4,0.1,0.6,64.8,41.1
Franklin County Ohio,Ohio,51.3,21.2,3.9,4.8,69.2,34.5
Franklin County Massachusetts,Massachusetts,51.2,1.1,1.3,3.2,94.2,45.5
Franklin County Tennessee,Tennessee,51.2,5.1,0.7,2.5,90.8,42.5
Franklin County Pennsylvania,Pennsylvania,51.1,3.1,0.9,4.3,92,41.2
Franklin County Maine,Maine,51.1,0.2,0.4,1,97.3,43.8
Franklin County Illinois,Illinois,51.1,0.3,0.3,1.2,97.7,43.3
Franklin County Texas,Texas,50.8,3.9,0.5,12.6,86.5,43.5
Franklin County Virginia,Virginia,50.7,8.1,0.4,2.5,88.5,44.7
Franklin County Georgia,Georgia,50.6,8.4,0.5,3.9,87.3,42.4
Franklin County Arkansas,Arkansas,50.5,0.7,0.9,2,95,41.3
Franklin County Kansas,Kansas,50.5,1.3,0.4,3.6,93.7,39.3
Franklin County Vermont,Vermont,50.4,0.4,0.5,1.2,95.6,40.2
Franklin County Missouri,Missouri,50.4,0.8,0.4,1.4,96.8,40.5
Franklin County North Carolina,North Carolina,50.2,26.7,0.5,7.9,66,40.4
Franklin County Alabama,Alabama,50.1,3.9,0.2,14.9,83,39.3
Franklin County Indiana,Indiana,50,0.2,0.2,0.9,98.3,40.8
Franklin County Nebraska,Nebraska,50,0.1,0.1,1,98.1,49.2
Franklin County Iowa,Iowa,49.6,0.4,0.3,11.3,93.6,44.8
Franklin County Idaho,Idaho,49.3,0.2,0.1,6.6,94.4,32.3
Franklin County Washington,Washington,48.3,1.9,1.8,51.2,60.5,28.4
Franklin County New York,New York,45.1,6.1,0.4,2.9,84.2,41.8
Franklin County Florida,Florida,42.4,13.8,0.2,4.6,82.6,46.7
Franklin Parish Louisiana,Louisiana,51.5,31.5,0.2,0.9,67.1,40.7
Frederick County Maryland,Maryland,50.8,8.6,3.8,7.3,81.5,39.4
Frederick County Virginia,Virginia,50.3,4.1,1.2,6.6,89.3,39.7
Fredericksburg city Virginia,Virginia,54.1,22.6,2.8,10.7,64.2,28.4
Freeborn County Minnesota,Minnesota,50.5,0.7,0.8,8.8,93.2,45.6
Freestone County Texas,Texas,47.3,16.1,0.3,13.6,73.1,41.8
Fremont County Iowa,Iowa,50.3,0.5,0.3,2.5,96.9,46.6
Fremont County Wyoming,Wyoming,50.1,0.3,0.4,5.6,74.3,39.5
Fremont County Idaho,Idaho,47.4,0.3,0.2,12.8,89.5,33.8
Fremont County Colorado,Colorado,42.3,3.9,0.6,12.3,90.2,47.7
Fresno County California,California,50,5.3,9.6,50.3,55.4,31.6
Frio County Texas,Texas,41.7,3.4,2.1,77.8,77.4,36.4
Frontier County Nebraska,Nebraska,49.2,0,0.1,1.3,98.4,43.3
Fulton County Georgia,Georgia,51.3,44.1,5.6,7.9,44.5,35
Fulton County Arkansas,Arkansas,51,0.3,0.2,0.8,96.8,48
Fulton County Ohio,Ohio,50.9,0.4,0.4,7.8,94.9,40.9
Fulton County New York,New York,50.5,1.9,0.6,2.3,95.3,43
Fulton County Kentucky,Kentucky,50.4,23.6,0.7,0.8,73.4,45.6
Fulton County Indiana,Indiana,50.3,0.7,0.5,4.2,95,42
Fulton County Pennsylvania,Pennsylvania,49.7,1,0.1,0.8,97.3,42.7
Fulton County Illinois,Illinois,48.3,3.4,0.3,2.4,93.4,44.5
Furnas County Nebraska,Nebraska,51.1,0.2,0.2,2.7,96.9,48.9
Gadsden County Florida,Florida,51.2,56,0.5,9.5,35.9,40
Gage County Nebraska,Nebraska,50.9,0.3,0.4,1.7,96.9,45.1
Gaines County Texas,Texas,49.8,1.7,0.3,36.6,84,28.8
Galax city Virginia,Virginia,52.9,6.2,0.5,14,85.8,45
Gallatin County Illinois,Illinois,51.3,0.2,0.1,1.2,97.9,45.8
Gallatin County Kentucky,Kentucky,49.8,1.3,0.2,4.3,94.7,38.3
Gallatin County Montana,Montana,48.1,0.3,1.1,2.8,95.1,33.4
Gallia County Ohio,Ohio,50.7,2.6,0.5,0.9,94.7,41.4
Galveston County Texas,Texas,50.5,13.8,3,22.4,72.5,38.1
Garden County Nebraska,Nebraska,49.3,0.2,0,3.9,96.6,50.5
Garfield County Nebraska,Nebraska,51,0.1,0.1,0.7,99.2,50.9
Garfield County Washington,Washington,50.7,0,1.7,4,93.8,50
Garfield County Oklahoma,Oklahoma,50.7,3,1,8.8,83.9,39
Garfield County Montana,Montana,48.8,0.2,0.1,0.2,98.6,46.4
Garfield County Colorado,Colorado,48.4,0.7,0.7,28.3,82.2,35.1
Garfield County Utah,Utah,48.3,0.4,1.2,4.5,94.1,40.5
Garland County Arkansas,Arkansas,51.5,7.9,0.7,4.8,86.4,45.9
Garrard County Kentucky,Kentucky,50.7,2,0.2,2.4,95.3,42.2
Garrett County Maryland,Maryland,50.3,1,0.3,0.7,97.8,44.2
Garvin County Oklahoma,Oklahoma,51.1,2.6,0.4,6.2,81.5,41.3
Garza County Texas,Texas,36.7,6.5,0.1,47.1,82.8,37.7
Gasconade County Missouri,Missouri,51,0.2,0.3,1,97.9,45.7
Gaston County North Carolina,North Carolina,51.6,15.3,1.2,5.9,78.2,39.9
Gates County North Carolina,North Carolina,51.1,33.2,0.1,1.4,63.7,42.5
Geary County Kansas,Kansas,50.5,18.4,3.2,12.4,66.2,28.4
Geauga County Ohio,Ohio,50.8,1.3,0.6,1.1,96.9,44.1
Gem County Idaho,Idaho,50.5,0.1,0.5,8,93.4,44.1
Genesee County Michigan,Michigan,51.8,20.7,0.9,3,74.5,39.7
Genesee County New York,New York,50.5,2.7,0.6,2.7,92.9,42.6
Geneva County Alabama,Alabama,51.1,9.5,0.3,3.4,86.3,43.2
Gentry County Missouri,Missouri,51.6,0.3,0.3,0.5,98.4,43.4
George County Mississippi,Mississippi,49.4,8.1,0.2,2,89.8,37.4
Georgetown County South Carolina,South Carolina,52.4,33.6,0.5,3.1,63.2,46.7
Gibson County Tennessee,Tennessee,52.4,18.8,0.2,2,78.5,41.3
Gibson County Indiana,Indiana,50.5,1.8,0.5,1.3,95.5,41.2
Gila County Arizona,Arizona,50.3,0.4,0.5,17.9,76.8,48.9
Gilchrist County Florida,Florida,47.8,5.3,0.4,5,90.9,43.9
Giles County Tennessee,Tennessee,51.2,10.2,0.4,1.6,86.4,43.1
Giles County Virginia,Virginia,51,1.5,0.3,1.2,96.7,44.1
Gillespie County Texas,Texas,51.8,0.4,0.4,20,91.3,51.2
Gilliam County Oregon,Oregon,48.4,0.2,0.2,4.7,95.2,51.6
Gilmer County Georgia,Georgia,50,0.5,0.3,9.5,92.3,44.4
Gilmer County West Virginia,West Virginia,39.5,12.3,0.4,5.7,82.5,42.1
Gilpin County Colorado,Colorado,47,0.5,1.4,4.9,94.8,45.4
Glacier County Montana,Montana,51.1,0.1,0.2,1.8,31.1,32.6
Glades County Florida,Florida,42.2,12.3,0.4,21.1,71,45.7
Gladwin County Michigan,Michigan,50,0.2,0.3,1.2,97.7,48.8
Glascock County Georgia,Georgia,51.8,8.2,0,1.1,89.8,39.9
Glasscock County Texas,Texas,47.1,1.2,0.1,30.8,85.2,38.3
Glenn County California,California,49.5,0.8,2.6,37.5,71.1,36.2
Gloucester County New Jersey,New Jersey,51.4,10.1,2.6,4.8,83.6,39.9
Gloucester County Virginia,Virginia,50.5,8.7,0.8,2.5,87.2,43.8
Glynn County Georgia,Georgia,52.5,26,1.2,6.4,67.6,40.7
Gogebic County Michigan,Michigan,46.7,4.1,0.2,0.9,91.7,49.1
Golden Valley County North Dakota,North Dakota,50.5,0.6,0.1,2.1,97.4,47.2
Golden Valley County Montana,Montana,47.6,0,0.7,3.5,94,47.8
Goliad County Texas,Texas,50.1,4.8,0.2,34.1,83.7,46.3
Gonzales County Texas,Texas,49.7,7.4,0.4,47.2,71.5,38.4
Goochland County Virginia,Virginia,50.4,19.2,1,2.1,77.5,45.7
Goodhue County Minnesota,Minnesota,50.4,1,0.6,2.9,94.6,43.3
Gooding County Idaho,Idaho,48.3,0.2,0.5,28.1,80.7,35.8
Gordon County Georgia,Georgia,50.6,3.6,1,14,85.2,36.9
Goshen County Wyoming,Wyoming,47.9,0.6,0.3,9.7,94.5,45.2
Gosper County Nebraska,Nebraska,49.9,0.4,0.2,2.4,97.1,48.4
Gove County Kansas,Kansas,50,0.3,0.4,1.6,98.2,49.7
Grady County Georgia,Georgia,51.6,28.7,0.4,10,62.8,39
Grady County Oklahoma,Oklahoma,50.4,2.4,0.4,4.6,85.8,39.3
Grafton County New Hampshire,New Hampshire,50.5,0.9,3,1.8,93.6,42.4
Graham County Kansas,Kansas,51.1,3.8,0.3,2.3,91.8,50.4
Graham County North Carolina,North Carolina,50.7,0.2,0.3,2.2,90.3,45.6
Graham County Arizona,Arizona,46.3,1.8,0.5,30.4,72.1,31.3
Grainger County Tennessee,Tennessee,50.2,0.5,0.1,2.3,97,43.1
Grand County Utah,Utah,49.6,0.3,0.8,9.6,89,40
Grand County Colorado,Colorado,46.6,0.4,0.8,7.5,93.5,41.4
Grand Forks County North Dakota,North Dakota,48.6,2,1.9,2.9,90.3,31.5
Grand Isle County Vermont,Vermont,50.1,0.4,0.3,1.1,95.3,45.8
Grand Traverse County Michigan,Michigan,50.6,1.2,0.7,2.2,94.7,43.2
Granite County Montana,Montana,49.1,0.1,0.1,1.4,97.5,51.7
Grant County Indiana,Indiana,51.9,7,0.6,3.6,88.2,40.3
Grant County New Mexico,New Mexico,50.9,0.9,0.4,48.3,84.9,47
Grant County Minnesota,Minnesota,50.6,0.3,0.2,1.6,97.4,47.3
Grant County Arkansas,Arkansas,50.3,2.2,0.3,2.2,94.9,40.5
Grant County Oregon,Oregon,50.3,0.2,0.3,2.8,95,50
Grant County Oklahoma,Oklahoma,50.3,0.8,0.2,3.5,93,46.2
Grant County West Virginia,West Virginia,50.3,0.7,0.2,1,97.7,44.7
Grant County North Dakota,North Dakota,50.3,0,0.1,0.3,97.2,51.9
Grant County Kentucky,Kentucky,50.1,0.7,0.3,2.3,96.7,36.4
Grant County South Dakota,South Dakota,49.2,0.1,0.3,2.3,97.1,46.2
Grant County Washington,Washington,49,1.1,0.9,38.3,72.8,32.9
Grant County Kansas,Kansas,48.9,0.6,0.3,43.9,81.3,33.7
Grant County Wisconsin,Wisconsin,48,1.1,0.6,1.3,97,40.2
Grant County Nebraska,Nebraska,45.3,0,0.2,1.1,98.4,49.2
Grant Parish Louisiana,Louisiana,44,15.6,0.3,4.2,81.4,38.9
Granville County North Carolina,North Carolina,46.6,32.8,0.5,7.5,60.4,41
Gratiot County Michigan,Michigan,46.8,5.5,0.3,5.4,90.6,40.3
Graves County Kentucky,Kentucky,51,4.3,0.3,5.7,90.4,41.3
Gray County Kansas,Kansas,50.9,0.4,0.2,14.2,93.4,34.9
Gray County Texas,Texas,48.1,4.9,0.4,23.8,81.5,39.6
Grays Harbor County Washington,Washington,48.7,1.1,1.4,8.6,84.9,43.4
Grayson County Texas,Texas,51.3,5.9,0.9,11.3,83.9,40.8
Grayson County Virginia,Virginia,51,2.1,0.1,2.7,95.3,47.9
Grayson County Kentucky,Kentucky,49.3,1,0.2,1,97.3,41
Greeley County Kansas,Kansas,52.3,0.5,0.3,13.7,91.7,46.4
