County,State,Perc_Female,Perc_Black,Perc_Asian,Perc_Hispanic,Perc_White,Median_Age
Appling County Georgia,Georgia,49.8,18.6,0.7,9.3,73.4,39.4
Appomattox County Virginia,Virginia,51.3,20.1,0.2,1.1,77.5,44
Aransas County Texas,Texas,50.4,1.3,2,24.6,87.4,49.7
Arapahoe County Colorado,Colorado,51,10.2,5.1,18.4,72.7,36.9
Archer County Texas,Texas,49.6,0.4,0.2,7.5,93.9,43.4
Archuleta County Colorado,Colorado,49.5,0.3,0.7,17.8,86.4,48.6
Arecibo Municipio Puerto Rico,Puerto Rico,51.9,6.1,0.1,99.2,84.5,40.3
Arenac County Michigan,Michigan,49.3,0.2,0.2,1.4,96.8,47.1
Arkansas County Arkansas,Arkansas,51.5,24.5,0.5,2.7,71.8,42.3
Arlington County Virginia,Virginia,50.2,8.5,9.6,15.1,71.7,33.4
Armstrong County Texas,Texas,51.2,0.6,0,6.5,93.3,47.5
Armstrong County Pennsylvania,Pennsylvania,50.7,0.8,0.2,0.5,98,45.7
Aroostook County Maine,Maine,50.8,0.6,0.4,0.9,95.7,46.2
Arroyo Municipio Puerto Rico,Puerto Rico,52.8,32.5,0.2,99.1,53.5,36.5
Arthur County Nebraska,Nebraska,50.4,0,0.2,4.1,95.4,39.5
Ascension Parish Louisiana,Louisiana,50.6,22.2,0.9,4.7,73.3,35.1
Ashe County North Carolina,North Carolina,50.6,0.6,0.4,4.8,95.5,47.1
Ashland County Ohio,Ohio,51.1,0.7,0.5,0.9,97.3,40.4
Ashland County Wisconsin,Wisconsin,50,0.3,0.4,1.9,84.6,41.6
Ashley County Arkansas,Arkansas,51.5,25.8,0.2,4.9,69.3,40.9
Ashtabula County Ohio,Ohio,50.1,3.5,0.4,3.4,92.7,42.2
Asotin County Washington,Washington,51.7,0.4,0.5,3,94.3,44.4
Assumption Parish Louisiana,Louisiana,51.1,30.5,0.2,2.1,66.8,39.8
Atascosa County Texas,Texas,50.7,0.8,0.3,61.9,84.9,37
Atchison County Kansas,Kansas,51.3,5,0.4,2.3,91,37.8
Atchison County Missouri,Missouri,50.4,0.3,0.2,1,98.5,47.5
Athens County Ohio,Ohio,49.9,2.7,2.7,1.5,91.8,27.3
Atkinson County Georgia,Georgia,49.4,17.3,0.3,24.3,62.2,34
Atlantic County New Jersey,New Jersey,51.5,16.1,7.5,16.8,65.4,41
Atoka County Oklahoma,Oklahoma,47.9,3.7,0.4,2.9,73.8,41.3
Attala County Mississippi,Mississippi,52.4,42,0.3,1.7,56.2,40.6
Audrain County Missouri,Missouri,53.8,6.4,0.5,2.6,89.8,39.3
Audubon County Iowa,Iowa,51.7,0.2,0.4,0.6,98.6,47.8
Auglaize County Ohio,Ohio,50.4,0.3,0.4,1.2,97.8,41.4
Augusta County Virginia,Virginia,49.3,4,0.5,2.1,93.4,44.1
Aurora County South Dakota,South Dakota,49,0.4,0.7,3.7,95.1,45.1
Austin County Texas,Texas,50.5,9.4,0.4,23.4,78.8,41.8
Autauga County Alabama,Alabama,51.3,17.7,0.9,2.4,78.5,37.9
Avery County North Carolina,North Carolina,45.6,4,0.3,4.5,91.9,45.1
