,district,sub_district,sum(aadhaar_generated)
194,Chitradurga,Molakalmuru,1
195,Chittorgarh,Bhadesar,5
196,Chittorgarh,Dungla,1
197,Chittorgarh,Kapasan,1
198,Cuddalore,Chidambaram,1
199,Cuddalore,Cuddalore,4
200,Dakshina Kannada,Belthangady,9
201,Damoh,Batiyagarh,10
202,Damoh,Damoh,45
203,Damoh,Hatta,39
204,Damoh,Jabera,49
205,Damoh,Patera,20
206,Damoh,Patharia,26
207,Damoh,Tendukheda,75
208,Darbhanga,Keotiranway,1
209,Datia,Bhander,14
210,Datia,Datia,8
211,Datia,Seondha,8
212,Dausa,Mahwa,7
213,Davangere,Jagalur,1
214,Deoghar,Deoghar,8
215,Deoghar,Devipur,1
216,Deoghar,Madhupur,10
217,Deoghar,Mohanpur,3
218,Deoghar,Palojori,3
219,Dewas,Bagli,1
220,Dewas,Dewas,4
221,Dewas,Khategaon,3
222,Dewas,Sonkatch,0
223,Dhalai,Ambassa,7
224,Dhalai,Salema,8
225,Dhanbad,Baghmara-cum-katras,10
226,Dhanbad,Dhanbad-cum-kenduadih-cum-jagta,2
227,Dhanbad,Govindpur,1
228,Dhanbad,Jharia,3
229,Dhanbad,Nirsa-cum-chirkunda,22
230,Dhanbad,Topchanchi,0
231,Dhanbad,Tundi,4
232,Dhar,Badnawar,13
233,Dhar,Dhar,26
234,Dhar,Dharampuri,39
235,Dhar,For New VTC,0
236,Dhar,Gandhwani,22
237,Dhar,Kukshi,55
238,Dhar,Kukshi ,11
239,Dhar,Manawar,86
240,Dhar,Sardarpur,9
241,Dharwad,Hubli,2
242,Dholpur,Bari,13
243,Dhule,Dhule,6
244,Dhule,Sakri,5
245,Dhule,Shirpur,37
246,Dhule,Sindkhede,5
247,Dindori,Dindori,30
248,Dindori,Shahpura,7
249,Dumka,Masalia,5
250,Dumka,Ramgarh,1
251,Dumka,Ranishwar,1
252,Dumka,Saraiyahat,13
253,Dungarpur,Aspur,5
254,Dungarpur,Dungarpur,3
255,Dungarpur,Sagwara,69
256,Dungarpur,Simalwara,9
257,East Delhi,Gandhi Nagar,1
258,East Godavari,Kadiam (Mandal),0
259,East Godavari,Korukonda,0
260,East Godavari,Malikipuram,0
261,East Godavari,Seethanagaram,0
262,East Singhbhum,Dumaria,1
263,East Singhbhum,Golmuri,0
264,East Singhbhum,Musabani,2
265,East Singhbhum,Patamda,1
266,East Singhbhum,Potka,21
267,Ernakulam,Kanayannur,1
268,Faridabad,Faridabad,3
269,Faridkot,Faridkot,1
270,Fatehabad,Fatehabad,18
271,Fatehabad,Ratia,4
272,Fazilka,Abohar,9
273,Fazilka,Fazilka,1
274,Ferozepur,Ferozepur,18
275,Ferozepur,Jalalabad,0
276,Ferozepur,Zira,4
277,Gadchiroli,Aheri,1
278,Gadchiroli,Bhamragad,1
279,Gadchiroli,Desaiganj (Vadasa),12
280,Gadchiroli,Gadchiroli,4
281,Gadchiroli,Kurkheda,14
282,Ganganagar,Anupgarh,10
283,Ganganagar,Ganganagar,0
284,Ganganagar,Gharsana,8
285,Ganganagar,Karanpur,1
286,Ganganagar,Raisinghnagar,20
287,Ganganagar,Vijainagar,2
288,Garhwa,Bhawnathpur,3
289,Garhwa,Majhiaon,1
290,Garhwa,Ramkanda,5
291,Garhwa,Ramna,2
292,Gautam Buddha Nagar,Gautam Buddha Nagar,2
293,Gaya,Sherghati,1
294,Ghaziabad,Ghaziabad,6
295,Giridih,Birni,0
296,Giridih,Dumri,1
297,Giridih,Gandey,1
298,Giridih,Pirtand,1
299,Godda,Boarijor,18
300,Godda,Meherma,3
301,Godda,Pathargama,2
302,Godda,Poreyahat,119
303,Godda,Sundarpahari,3
304,Godda,Thakur Gangti,2
305,Gondiya,Gondiya,0
306,Gondiya,Sadak-arjuni,0
307,Gulbarga,Afzalpur,6
308,Gumla,Basia,0
309,Gumla,Bishunpur,8
310,Gumla,Dumri,1
311,Gumla,Gumla,2
312,Gumla,Kamdara,15
313,Gumla,Raidih,0
314,Gumla,Sisai,2
315,Guna,Aron,12
316,Guna,Chachaura,11
317,Guna,Guna,66
318,Guna,Kumbhraj,2
319,Guna,Raghogarh,32
320,Gurdaspur,Batala,21
321,Gurdaspur,Dera Baba Nanak,9
322,Gurdaspur,Dhar Kalan,0
323,Gurdaspur,Gurdaspur,53
324,Gurgaon,Farrukhnagar,19
325,Gurgaon,Sohna,1
326,Gwalior,Gird,66
327,Hanumangarh,Bhadra,6
328,Harda,Khirkiya,1
329,Harda,Timarni,4
330,Hassan,Alur,1
331,Hassan,Arasikere,16
332,Hassan,Arkalgud,1
333,Hassan,Belur,1
334,Haveri,Byadagi,1
335,Haveri,Hanagal,25
336,Haveri,Haveri,6
337,Haveri,Ranebennur,1
338,Hazaribagh,Barhi,1
339,Hazaribagh,Barkagaon,2
340,Hazaribagh,Bishungarh,2
341,Hazaribagh,Chauparan,1
342,Hazaribagh,Churchu,1
343,Hazaribagh,Keredari,1
344,Hingoli,Basmath,3
345,Hingoli,Kalamnuri,1
346,Hisar,Hansi,177
347,Hisar,Hisar,24
348,Hisar,Narnaund,4
349,Hooghly,Serampur Uttarpara,2
350,Hoshangabad,Babai,0
351,Hoshangabad,Seoni-malwa,0
352,Hoshiarpur,Dasuya,70
353,Hoshiarpur,Garhshankar,59
354,Hoshiarpur,Hoshiarpur,4
355,Hoshiarpur,Mukerian,4
356,Hyderabad,Bahadurpura,3
357,Hyderabad,Charminar,9
358,Hyderabad,Nampally,0
359,Hyderabad,Secunderabad,4
360,Indore,Depalpur,48
361,Indore,Indore,76
362,Indore,Mhow,9
363,Indore,Mhow ,2
364,Indore,Sawer,6
365,Jabalpur,For New VTC,0
366,Jabalpur,Jabalpur,15
367,Jabalpur,Patan,2
368,Jaipur,Amber,11
369,Jaipur,Chaksu,3
370,Jaipur,Chomu,2
371,Jaipur,Jaipur,14
372,Jaipur,Jamwa Ramgarh,1
373,Jaipur,Kotputli,15
374,Jaipur,Phagi,5
375,Jaipur,Phulera (HQ Sambhar),44
376,Jaipur,Sanganer,10
377,Jaipur,Shahpura,2
378,Jaisalmer,Pokaran,1
379,Jalandhar,Jalandhar - I,1
380,Jalandhar,Jalandhar -II,0
381,Jalandhar,Nakodar,3
382,Jalandhar,Phillaur,5
383,Jalandhar,Shahkot,1
384,Jalaun,Madhogarh,1
385,Jalgaon,Amalner,5
386,Jalgaon,Bhusawal,2
387,Jalgaon,Bodvad,7
388,Jalgaon,Chalisgaon,1
389,Jalgaon,Chopda,7
390,Jalgaon,Dharangaon,5
391,Jalgaon,Erandol,1
392,Jalgaon,Jalgaon,7
393,Jalgaon,Jamner,0
394,Jalgaon,Muktainagar (Edlabad),10
395,Jalgaon,Pachora,9
396,Jalgaon,Parola,3
397,Jalgaon,Raver,0
398,Jalgaon,Yawal,37
399,Jalna,Ambad,14
400,Jalna,Badnapur,8
401,Jalna,Bhokardan,9
402,Jalna,Ghansawangi,5
403,Jalna,Jafferabad,7
404,Jalna,Jalna,6
405,Jalna,Partur,1
406,Jamtara,Jamtara,0
407,Jamtara,Kundahit,9
408,Jamtara,Nala,2
409,Jamtara,Narayanpur,10
410,Jamui,Sono,1
411,Jhabua,Jhabua,26
412,Jhabua,Meghnagar,19
413,Jhabua,Petlawad,19
414,Jhabua,Ranapur,9
415,Jhabua,Thandla,6
416,Jhajjar,Bahadurgarh,60
417,Jhajjar,Beri,97
418,Jhajjar,Jhajjar,14
419,Jhalawar,Aklera,3
420,Jhalawar,Jhalrapatan,13
421,Jhalawar,Pachpahar,2
422,Jhunjhunun,Buhana,2
423,Jhunjhunun,Khetri,1
424,Jhunjhunun,Nawalgarh,1
425,Jhunjhunun,Udaipurwati,5
426,Jind,Jind,7
427,Jind,Julana,43
428,Jind,Narwana,18
