id,user,uid,version,changeset,timestamp
16962501,DaveHansenTiger,7168,1,340225,2007-12-17T22:36:03Z
16962869,DaveHansenTiger,7168,1,340225,2007-12-17T22:38:12Z
16963166,NE2,207745,5,9562979,2011-10-15T12:55:20Z
16963469,GPS_dr,117055,3,14222165,2012-12-10T06:18:26Z
16963783,balrog-kun,20587,2,4334369,2010-04-05T15:48:27Z
16964121,balrog-kun,20587,2,4334369,2010-04-05T15:48:46Z
16964367,Your Village Maps,227972,17,22262588,2014-05-11T08:56:39Z
16964652,balrog-kun,20587,2,4334369,2010-04-05T15:49:25Z
16964873,balrog-kun,20587,2,4334369,2010-04-05T15:49:47Z
16965139,balrog-kun,20587,2,4334369,2010-04-05T15:50:11Z
16965381,balrog-kun,20587,2,4334369,2010-04-05T15:50:31Z
16965676,uboot,26299,3,15202924,2013-02-28T22:09:49Z
16965923,Stevestr,571489,3,20838556,2014-03-01T03:11:57Z
16966184,balrog-kun,20587,2,4318130,2010-04-04T01:24:18Z
16966487,andrewpmk,1679,3,26312518,2014-10-25T00:55:26Z
16966760,GPS_dr,117055,3,14508118,2013-01-03T06:45:24Z
16967062,42429,42429,9,9530283,2011-10-11T12:30:57Z
16967311,GPS_dr,117055,3,6857036,2011-01-04T02:32:29Z
16967566,Your Village Maps,227972,4,15941256,2013-05-02T04:50:01Z
16967820,balrog-kun,20587,2,4318130,2010-04-04T01:27:42Z
16968018,GPS_dr,117055,3,29669637,2015-03-23T02:02:56Z
16968280,balrog-kun,20587,2,4318130,2010-04-04T01:28:53Z
16968594,killian,392708,7,48465444,2017-05-07T03:48:48Z
16968905,balrog-kun,20587,2,4318130,2010-04-04T01:29:48Z
16969164,balrog-kun,20587,2,4318130,2010-04-04T01:30:12Z
16969427,balrog-kun,20587,2,4318130,2010-04-04T01:30:40Z
16969673,balrog-kun,20587,2,4318130,2010-04-04T01:31:05Z
16969982,rhildebrand,666728,3,45578092,2017-01-27T23:37:36Z
16970322,balrog-kun,20587,2,4318130,2010-04-04T01:31:55Z
16970623,balrog-kun,20587,2,4318130,2010-04-04T01:32:24Z
16970846,balrog-kun,20587,2,4318130,2010-04-04T01:33:01Z
16971097,balrog-kun,20587,2,4318130,2010-04-04T01:33:25Z
16971347,CornCO,2281193,7,41220534,2016-08-03T18:08:19Z
16971622,balrog-kun,20587,2,4318130,2010-04-04T01:34:16Z
16971876,balrog-kun,20587,2,4318130,2010-04-04T01:34:42Z
16972108,GPS_dr,117055,3,7662217,2011-03-25T06:10:43Z
16972293,balrog-kun,20587,3,4318130,2010-04-04T01:35:29Z
